Product_ID,Cost,Retail_Price,Shipping_Cost,Category,Genre
192218,26,31,2.5,Non-Fiction,Education
538623,11,21,2.5,Non-Fiction,Education
191354,6,12,2.5,Non-Fiction,Education
409691,19,29,2.5,Non-Fiction,Education
365182,16,21,2.5,Non-Fiction,Education
342383,6,14,2.5,Non-Fiction,Education
182358,5,11,2.5,Non-Fiction,Bio
228722,27,37,2.5,Non-Fiction,Bio
422145,29,40,2.5,Non-Fiction,Bio
477607,5,10,2.5,Non-Fiction,Bio
476998,21,27,2.5,Non-Fiction,Bio
384268,8,13,2.5,Non-Fiction,Food
289948,14,22,2.5,Non-Fiction,Food
249571,15,25,2.5,Non-Fiction,Food
156884,30,34,2.5,Non-Fiction,Food
545673,30,34,2.5,Non-Fiction,Food
164681,14,22,2.5,Non-Fiction,Food
523640,12,22,2.5,Non-Fiction,Food
273747,16,24,2.5,Fiction,Thriller
489344,30,39,2.5,Fiction,Thriller
130687,10,14,2.5,Fiction,Thriller
156633,12,17,2.5,Fiction,Thriller
123017,15,21,2.5,Fiction,Thriller
182155,10,14,2.5,Fiction,Thriller
318652,10,17,2.5,Fiction,Thriller
393106,6,17,2.5,Fiction,Thriller
227774,30,41,2.5,Fiction,Thriller
122277,29,37,2.5,Fiction,Thriller
417102,18,27,2.5,Fiction,Thriller
422256,7,17,2.5,Fiction,Thriller
210719,11,18,2.5,Fiction,Romance
226297,5,11,2.5,Fiction,Romance
401329,21,25,2.5,Fiction,Romance
504563,24,30,2.5,Fiction,Romance
416113,30,35,2.5,Fiction,Romance
518167,26,34,2.5,Fiction,Romance
402996,24,33,2.5,Fiction,Romance
355984,19,25,2.5,Fiction,Romance
218178,23,28,2.5,Fiction,Romance
383639,24,35,2.5,Fiction,Sci-fi
481128,22,28,2.5,Fiction,Sci-fi
411990,11,20,2.5,Fiction,Sci-fi
209558,9,13,2.5,Fiction,Sci-fi
395186,6,17,2.5,Fiction,Sci-fi
313550,12,18,2.5,Fiction,Sci-fi
140504,13,23,2.5,Fiction,Sci-fi
166159,8,13,2.5,Fiction,Sci-fi
318149,9,18,2.5,Fiction,Sci-fi
376401,11,17,2.5,Fiction,Sci-fi
274777,16,20,3.5,Fiction,Sci-fi
